hnit	infinitive
hwet	ក្រពះ
hlos	ជាន់លើ
hbon	ផ្លាស់ប្តូរ
pcon	លង្ហិន
hsem	កិច្ចប្រជុំកំពូល
lwac	ដែលមានតំលៃថោក
tsos	ការប្រកួត
kwen	មនុស្សដែលផ្តាច់មុខ
trun	ចុះចត
trut	រូបចម្លាក់
hrap	កាំភ្លើងធំ
hgap	ចាប់ខ្លួន
trot	សីតុណ្ហាភាព
grin	សង្កាត់
hjak	ចាប់យក
hpek	កញ្ចប់
hlus	សត្វ​ក្តា​ន់
hwos	បន្ទប់គេង
tsuc	ព្រៃ
pcuc	ឆក់
cris	ទាយាទ
clun	ដើមជ្រៃ
hpes	មិនល្អ
nlet	មិនពេញលេញ
hrom	កម្មវិធី
pyon	ព្យាណូ
swet	បញ្ចុះបញ្ចូល
dric	មើលមិនឃើញ
tyen	គេស្គាល់ផងដែរ
hruk	ភាព​សាហាវ​ឃោរ​ឃៅ
frat	ដែលបានផ្ដល់
hyoc	ការល្បួង
hlep	ទិដ្ឋភាពtelic
nrot	អន្ដរជាតិ
nret	ហិង្សា
hfif	ទស្សនវិទូ
pfic	តំណាង
hmek	អក្សរតូចធំ
hfec	សុខុមាលភាព
myik	ការនេសាទត្រី
truc	ការលួច
tcop	បបូរមាត់
rwic	ចូលនិវត្តន៍
htom	សេដ្ឋកិច្ច
glan	វិចិត្រសាល
pren	ស្រប
hlek	ទិដ្ឋភាពatelic
nrak	ទ្វីប
truk	អាក្រក់
hjim	អារម្មណ៍ការហាមឃាត់
rwat	ស្មើ
hcep	កោសិកា
dyan	ស៊ុត
jrat	សិប្បនិម្មិត
nren	ការបំផុសគំនិត
ksic	វិបត្តិ
tsoc	ការស្វែងរក
lwan	អាហារថ្ងៃត្រង់
hpos	ស្រល់
hcuf	ការជំរុញ
tcus	ប្ដឹង
pset	ពង្រីក
hkep	ស្ពាន់
swis	នាវិក
prim	អធិរាជ
trip	ខ្សែតី
cras	អាវ
swap	យុទ្ធនាការ
syet	បង្ហាញប្រភេទរូបភាព
htof	ចោរ
clen	ឆានែល
kwit	បុគ្គលិកលក្ខណៈ
klok	លើស
hrok	កំណែទម្រង់
hguc	ស្រេកទឹក
kcim	ការគំរាមកំហែង
hpem	ដូង
psik	វាគ្មិន
frit	កម្រិតពន្លឺ
cret	ដាន
mrak	លំពែង
syen	សម័យ
tcup	សើម
hyek	ការធ្វើដំណើរ
trim	សំណប៉ាហាំង
plak	ពាក្យបណ្តឹង
hyok	មុំ
hgam	គោ
hmok	រោងម៉ាស៊ីនកិន
jrac	ផែនទី
kloc	កអាវ
gyit	ចេតនា
hbip	ស្រាបៀរ
mlet	កាម្ញី
lyap	ការរំលោភបំពាន
cwen	ហ្វូងចៀម
bwan	ក្មួយស្រី
tses	ដប់បី
jrit	បង្ហាញអំពីភាពត្រឹមត្រូវ
nlak	សាត្រាស្លឹករឹត
sron	អ្នកចម្បាំង
cruc	ថ្ងៃសុក្រ
broc	ជក់
dlot	ទាញយក
krim	ក្រែម
pric	ទីលាន
prut	គណៈវិនិច្ឆ័យ
hgon	កក
sram	ព្យញ្ជនៈ
pfot	សក្តានុពល
hlot	ដែលបានគ្រោងទុក
djin	កាក់
hlok	បង្គ្រប់
hpep	ផ្លែប៉ោម
hwot	ស្រស់
dlak	ពិភាក្សា
brik	ជាវជាប្រចាំ
nlis	ចម្លង
hbet	ភ្នាល់
pris	មេរោគ
hjik	បដិសណ្ឋារកិច្ច
blit	ដូចកូនក្មេង
hjap	អាវ
tfik	ឆ្លុះបញ្ចាំងពី
hdaf	សំរេចបាន
hpop	ល្ខោនអូប៉េរ៉ា
kcaf	លាក់ខ្លួន
kcoc	កែង
hrum	ជួសជុល
cyim	គួរឱ្យសង្ស័យ
dyic	ការអប់រំ
hgoc	រណ្តៅ
drak	ជំងឺ
plas	ការទះដៃ
byin	ប្រព័ន្ធគោលពីរ
hzap	Abbey
nlot	ភាពស្មោះត្រង់
mrik	មេកានិច
hsop	ដោយជោគជ័យ
crap	អន្ទាក់
kyek	នំ
nrut	ការកំសាន្ត
syes	លោក
hjet	ដប់ប្រាំពីរ
hjen	ស្រី
hmom	ទឹកឃ្មុំ
hdec	ជាអកុសល
lwen	រឿងព្រេង
slot	ចង្ក្រាន
frac	ក្រុមឧទ្ទាម
gwan	ហើម
mruk	ការកែលម្អ
swot	វាលភក់
zlan	រកប្រាក់ចំណូល
hnem	ចលនា
hdes	ការស្លៀកពាក់
prak	ប្រកាស
frin	ទេសភាព
hfet	ប្រឆាំងនឹងការ
cros	ជួយច្រៀងបន្ទរ
ryon	សមហេតុផល
tcos	ដំណាំ
tsen	ដំណើរការ
hwek	ចចក
nlik	ការបដិសេធ
klap	កំរាលព្រំ
dras	មើលងាយ
prop	មានជីជាតិ
slim	កញ្ចែ
hgis	ឈីស
krut	ខាំ
srot	ចុន
bjan	វង្វេង
nwen	កងទ័ពជើងទឹក
myas	របាំង
kwaf	ការអភិវឌ្ឍ
twis	ក្បាំងមុខ
pcip	ខ្មៅដៃ
srap	បន្លែ
sren	ពិព័រណ៍
tlun	ខោ
hrup	អំពើពុករលួយ
nrip	គណៈរដ្ឋមន្រ្តី
srup	ស៊ុប
jran	គ្រូពេទ្យវះកាត់
bjat	ប្រាក់ឧបត្ថម្ភ
gyat	ចារកម្ម
hlem	មិនប្រុងប្រយ័ត្ន
srak	អរូបី
kson	ការបញ្ចេញសំឡេង
cwis	ថ្ងៃព្រហស្បតិ៍
sret	ដោយស្មោះ
hraf	ចរាចរណ៍
hres	ស្ថាបត្យកម្ម
hsuf	ការចោល
rwak	ការបង្ក្រាប
twon	គ្រឿងតុបតែង
hfus	ការងើបឡើងវិញ
hkom	លេខកូដ
djat	នាងហិនទ័រ
nlut	ព្រឹត្តិប័ត្រ
hsef	សត្វពស់
mris	ធិបតេយ្យ
bric	ថ្ម
mlam	ក្រមួន
zran	ចែករំលែក
cron	រំភើប
hzen	ការហែលទឹក
traf	បន្ទះ
cwaf	ស្រោមសំបុត្រ
srip	បារី
mrot	ម៉ូតូ
swon	អ្នកស្ម័គ្រចិត្ត
ryak	ប្រតិកម្ម
pfun	ដោយផ្នែក
blac	ឥវ៉ាន់
mret	ក្រសួង
hjon	ផ្លូវភេទ
kcok	ពូថៅ
dram	ពេជ្រ
kren	ជំនួស
tcek	អេកូ
hdif	អត្តសញ្ញាណ
tfas	ឯកអគ្គរដ្ឋទូត
hfot	មាន
lwas	ខ្ជិល
hmep	ទិដ្ឋភាពmomentane
kfin	ការអ៊ិនកូដ
mwin	ស្រមើលស្រមៃ
hrem	កាំរស្មី
pram	ឡើង
byac	ក្រោ
mren	ចងចាំ
swen	ព្រឹទ្ធសភា
kras	មឈូស
hgun	លេបទឹកមាត់
nlok	indulge
ryic	កសិកម្ម
gwin	តំលៃ
srut	វាលស្ផោ
hkes	ស្មុគ្រស្មាញ
hfis	ការលាលែងពីតំណែង
frak	ម្តងហើយម្តងទៀត
hnom	ការឃុបឃិត
hcop	បោះពុម្ព
hlec	ម្រេច
mlot	បទភ្លេង
zrat	បេក្ខជន
proc	អ្នកឧបត្ថម្ភ
flik	កញ្ជ្រោង
cyet	undefined
hgim	បំពង់ផ្សែង
slet	ការពារហានិភ័យ
tcok	ភាពត្រឹមត្រូវ
bjit	អតីតស្លាប់
brot	bud
bwat	ភួយ
hdus	ជ្រូក
gwat	ភ្លុក
kret	ការដកស្រង់
nwet	អ្នកសង្កេតការណ៍
jwan	ផ្លូវ
nwis	ក្រចក
mwic	សត្វឃ្មុំ
bzat	តារាសម្តែង
gyan	ញើស
zyit	ប្រតិបត្តិ
blic	ការបំភាន់
pcet	ភាពមិនច្បាស់លាស់
tsot	បត់
bwit	ព្រំដែន
tres	ភាពតានតឹង
hkof	ការប្រើប្រាស់
nyen	ថូរ
hles	ស្រដៀងទៅនឹង
cyek	បាវ
hjis	ម្ជុល
gjan	បាតុភូត
prec	មានឥរិយាបទ
drot	បានត្រួតពិនិត្យ
kcek	ខ្សែកោង
twic	សាច់​មាន់
brak	ធុង
zwat	ទម្លាប់
clap	ទិដ្ឋភាពធម្មតា
tsec	អ្នកជំនាញ
bwin	គួរឱ្យចាប់អារម្មណ៍
cwet	bounded
hbek	លោកBaker
zlin	អូលីវ
mron	ឡាន
drin	លះបង់
psap	បកអាក្រាត
gjin	ថ្ងៃខួបកំណើត
clut	ញញួរ
cwun	ក្រអូប
twaf	រឿងតូចតាច
pcot	ចិញ្ចឹម
krok	លលាដ៍ក្បាល
dlik	អង្គនីតិបញ្ញត្តិ
cwic	សំណាងល្អ
srun	ចងចិញ្ចើម
crec	បំផ្លាញ
jlan	រឹម
kcip	ជើងឯក
blin	ពាន់លាន
ryik	គីមី
mlas	ជីពចរ
flit	សាកល្បង
hzet	រៀបការ
cwik	មហាអស្ចារ្យ
twet	សំពត់
mwik	ប្រចាំសប្តាហ៍
tfis	បច្ចេកទេស
tlon	រថយន្ត
cram	undefined
grac	ពង្រឹង
kraf	ក្អេក
trup	គុណលក្ខណៈ
hduk	ទំពក់
cruk	សត្វខ្លា
nrap	ផ្ទះ
crot	ផ្លូវហាយវ៉េ
mlip	កងជីវពល
hfoc	រូបថត
nres	បូរណភាព
plos	បូក
tfam	តម្លាភាព
nlic	ដប់របា
hwok	មានលក្ខណៈសម្បត្តិគ្រប់គ្រាន់
nlen	អត្ថបទ
fyic	ប្រសិទ្ធិភាព
hwuk	តែមួយគត់
hgok	សរីរាង្គ
flic	ទេវវិទ្យា
flot	អ​ណ្តែ​ត
hboc	កាតព្វកិច្ច
hwoc	មេធ្មប់
syot	ស្ទូឌីយោ
cwip	ស្រា​សំ​ប៉ា​ញ
hbes	បដា
lwic	ការលែងលះ
blot	ន្លឹ
cwot	ឈ្លើយ
cwam	សរសៃ
prik	អកម្ម
hfum	ស្នោ
grik	ក្រួស
zrin	អាវអៀម
gren	ភពផែនដី
hfuc	ការរស់ឡើងវិញ
claf	ធ្នើ
flas	អ្នកគាំទ្រ
hjot	តំបន់ត្រូពិក
hbim	ដោយបំពាន
krek	បារត
hbec	undefined
tsaf	ធ្វើអត្តឃាត
pwas	ហ
plot	រាយការណ៍
kfak	ចំណាយ
blak	យ៉រ
hdos	ស្នាមប្រឡាក់
kwis	បុរាណ
kcos	ចោទ​ប្រកា​ន
psen	ប្រាក់សោធននិវត្តន៍
kres	កិរិយាស័ព្ទ
hzon	ស្វា
srim	ហត្ថលេខា
glin	ការស្ទាក់ស្ទើរ
mlut	មានកេរ្តិ៍ឈ្មោះ
myot	ការនាំចូល
fwac	ស្ថាបនិក
troc	ពិល
hgaf	វេយ្យាករណ៍
hyop	ទូក
ksip	ផុតពូជ
sres	ដំណើរកំសាន្ត
hnup	លំហ
hzun	រឹងរូស
mric	សាច់ដុំ
gjat	រ៉ិចទ័រ
hros	ការលុប
zrac	កំសាក
tros	នំបុ័ងអាំង
myus	កណ្តុរ
dwac	កិច្ចពិភាក្សា
byak	ពពែ
htef	ជាងកាត់ដេរ
hfek	មានការរីកចំរើន
dzan	ដាក់
nyon	អនាមិក
zrit	ការចុះបញ្ជីជាផ្លូវការ
pcos	កីឡា
hjec	រលាយ
dlas	លុប
mras	ឆ័ត្រ
mram	រ៉ែ
cwut	បទឈប់បាញ់
hbok	ទា
swun	សាប៊ូ
dwak	តុក្កតា
plif	វីឡា
slon	ដេរ
tfut	សូមអបអរសាទរ
djac	ផ្សះផ្សា
hjas	ការគាបសង្កត់
kric	ទន្សាយ
kwot	ចំហាយ
gzan	ការធានា
clot	កីឡាករ
ksek	សត្វល្អិត
psam	ឥរិយាបថ
mwut	សត្វទីទុយ
htem	ជាអចិន្ត្រៃ
clon	វីយូឡុង
dzin	អ្នកស្រុក
rwim	រៀង
hyof	ប្រយោជន៍
dron	នាគ
dwit	ភ័ស្តុតាងauditory
sroc	ការនាំចេញ
hzot	បញ្ចប់
djik	linger
kfik	គំរប
ryun	បទប្បញ្ញត្តិ
hmes	ចៅហ្វាយក្រុង
rwac	ផ្នែករឹង
sruk	សៀក
sros	ជនជាតិភាគតិច
bzan	កុបកម្ម
kset	វង់តន្រ្តី
bjon	កិត្តិយស
hjut	គ្មានដែនកំណត់
tfen	ការពារ
zwac	គុណវិបត្តិ
dyin	ការពិភាក្សា
myis	តន្ត្រីករ
mlis	បញ្ញាស្មារតី
pret	មិនគ្រប់គ្រាន់
tsek	ស្ថាបត្យករ
hlom	ក្រូចឆ្មា
ksos	ក្អក
crok	ឈឺក្បាល
flin	ជីជាតិ
mrun	ជាងឈើ
swec	ចៃដន្យ
syuk	ស្លាបព្រា
blun	ប៉េងប៉ោង
tcep	ដីស
fric	កម្លាំងចិត្ដឡើងវិញ
rwik	បញ្ឈរ
rwen	ការការពារ
flet	ភ័ស្តុតាងinferential
pfac	ចាងហ្វាងការផ្សាយ
srek	ទឹកខ្មេះ
tfun	ផ្លូវរូងក្រោមដី
pwet	ផ្ដុំរូប
gyik	គណិតវិទ្យា
fwot	បន្ថយ
lwin	តុល្យភាព
jwin	ថ្លើម
bwik	ករណីsublative
hdup	ការធ្លាក់ចុះ
hnop	ផ្តាច់មុខ
bwic	នាវាមុជទឹក
ryen	ដោយមិនគិត
hcem	ការរញ្ជួយដី
hbos	មន្ទីរពិសោធន៍
nrek	កម្មករ
ryim	ចង្វាក់
nyic	បកស្រាយ
dwas	ស្ថានទូត
rwok	បង្ក
kram	អសមត្ថភាព
ksim	អារម្មណ៍ប្រកាស
clok	សូកូឡា
pcec	ដែលមានសិទ្ធិ
nyis	តាឥសី
tyoc	ចៃដន្យ
grak	កោស
zlat	ស្រោមដៃ
hjuk	លត់ជង្គង់
trif	ភូមិសាស្ដ្រ
djit	ប្រព័ន្ធ
pson	undefined
mwis	ការវិនិយោគ
cwec	ពាក្យសំដី
hdek	ដែលមិនមានសាសនា
blik	ស្ទាំង
sloc	ចិត្តវិទ្យា
brap	សំណល់អេតចាយ
jlat	ចោរ
dros	ម្ត
slam	ត្រីសាម៉ុង
pwun	pudding
gwik	ម៉េញ៉ទិក
pcop	ការបូម
myen	ដូចគ្នានេះដែរ
ksen	អុកស៊ីសែន
mrap	មេ
tfot	វិញ្ញាបនបត្រ
ksus	ចង្កោម
trok	វោហារសាស្ត្រ
tloc	សំន់
zyan	រចវា
nlun	ចូល
hlop	កែវពង្រីក
jlin	អក្ខរាវិរុទ្ធ
lyut	ពពក
hsof	ការsurf
fyik	ស្រាវីស្គី
klet	ទាក់ទង
hwof	willow
hlum	សត្វអូដ្ឋ
myet	ស្ម័គ្រចិត្ត
klis	ភាពឯកោ
hbaf	ជីវប្រវត្តិ
gwac	សត្វលា
hwum	ពាក្យចចាមអារាម
pwik	ទស្សនៈ
pron	គាំទ្រ
myes	ប្រចាំខែ
mwen	undefined
kfic	វិស្សមកាល
klek	ការចុច
cwon	រាងពងក្រពើ
lyak	យឺត
kwon	វចនានុក្រម
hjam	Ham
rwon	ឥន្ធនូ
crip	សូម
zwan	កើតមានឡើង
srok	ការបោះពុម្ពផ្សាយ
craf	ក្រុមហ៊ុន
tlok	ធុង
brip	មេអំបៅ
tfap	តារាង
jwat	ភ្លោះ
pros	ប្រតិបត្ដិការ
psun	ប្រផ្នូល
clet	undefined
hbus	ឫស្សី
dyas	អ្នកចែកបៀ
klun	ជាដុំ
jlit	ជាឯកច្ឆន្ទ
hdom	សុបិន្តអាក្រក់
kron	កាបូន
hzam	ស្ទះ
cyot	ស្តាប់
hmem	សារមន្ទីរ
lwam	អក្ខរក្រម
fras	វិធី
psoc	កណ្តាប់ដៃ
hgum	ស្ករកៅស៊ូ
brek	ហ្វ្រាំង
glit	ស្ថិរភាព
frun	បុក
gris	ឈ្លានពាន
mroc	កកិត
bzit	ពីងពាង
plut	ដំឡូង
glac	លោភលន់
gzac	គុណ
prun	បង្កើនបន្ថយ
jlet	ប្រតិទិន
nyim	ការតែងតាំង
tlos	ពាន់ពាន់លាន
slut	សាឡាត់
fwit	អារម្មណ៍វិជ្ជមាន
pyen	កម្មវិធី
nlon	បន្ទាប់បន្សំ
dren	បង្ហាញពី
drun	ការមិនពេញចិត្ត
cyok	កន្ដើ
hfop	បាល់ទាត់
ryac	ភាពជាដៃគូ
gzin	ជាអ្នកត្រួសត្រាយ
hgip	ស្ព
tyet	កីឡា
hdof	ideophone
hwup	មិនអាចកាត់ថ្លៃបាន
lwek	ដងថ្លឹង
syec	សមាជិកព្រឹទ្ធសភា
jyak	ផ្ទុក
mlim	ស្រមោច
fwic	ប្រសិទ្ធិភាព
gzit	មានផ្ទៃពោះ
blas	ការពឹងផ្អែក
jrin	ជា​រៀងរាល់ថ្ងៃ
gwak	កជើង
drik	ចម្លែក
prif	អថេរ
jwit	ភាពសម្បូរបែប
krip	ការរើសអើង
ryot	undefined
nwut	ចិញ្ចើមផ្លូវ
kcif	យ៉ាងសកម្ម
jrak	កង្កែប
twek	ករណីexessive
psot	ដង្វាយធួន
pfon	អេប៉ុង
sluk	កំប្រុក
nlim	អារម្មណ៍irrealis
ksaf	កង្វះខាត
glak	ភ្នំភ្លើង
plen	លំនឹង
kfaf	កន្សែង
kyon	ទាញយក
jlik	ភូមិសាស្ត្រ
psop	លិខិតឆ្លងដែន
kfis	ទំនេរ
fyon	ដូចគ្នា
nram	ប្រាសចាក
hbuk	biscuit
gras	Trance
hyos	បារម្ភ
flim	ខ្សែភាពយន្ត
plet	កុំព្យូទ័របន្ទះ
rwam	អាតូម
blis	vanilla
zlit	ជំនួយ
fyut	មានfastidious
crim	សាជីជ្រុង
hjif	ខុសច្បាប់
crif	shyness
lwap	Lute
tyon	វិស័យតារាសាស្ត្រ
mrim	ផ្ទាំងសិលា
drut	បរិយាយ
nrim	អាហារូបករណ៍
kruc	អណ្តើក
kwam	ទីប្រឹក្សា
jrik	កីឡាcricket
dlut	បញ្ជាក់
pyot	ព្រាប
dyon	ការបន្សាំ
prap	ប្រតិបត្តិករ
bzin	ផ្លាកសញ្ញា
tyek	ត្រីកោណ
trec	ហេរញ្ញិក
nron	អ៊ីដ្រូសែន
pyet	ម៉ាស៊ីនបោះពុម្ព
tsok	choke
zyin	រ៉ាំរ៉ៃ
slek	កង់
jyin	វិស្វកម្ម
ryas	ការបញ្ជូន
zrak	ធ្វើឱ្យស្រស់
nyas	អ្នករាំរបាំ
gric	ការធ្វើចំណាកស្រុក
zlak	រំលោភលើ
tces	កីឡាវាយកូនបាល់
hjun	ខ្យល់
twen	ត្បាញ
kyet	អ្នកប្រមូល
gwit	ឆ្អឹងខ្នង
kyot	អង្កត់ធ្នូ
fwin	ប្រេកង់
tfuc	loom
dlet	ថត
pfik	អ្នកគិត
bjet	ថវិកា
trek	ជាយុទ្ធសាស្រ្ត
kros	រ៉ែថ្មខៀវ
gjit	កន្ត្រៃ
gwic	ការផ្លាស់ប្តូរ
frik	ទ្រឹស្តី
tluc	កន្សែង
pruc	ល្បាត
glic	ផែនទឹកកក
krun	ភាពពេញលេញ
bjin	ការព្យាករ
tlaf	ចូលរួម
tfet	ក្រុមហ៊ុនផលិត
bras	នៅពេលក្រោយ
dwik	ជនជាប់ចោទ
clec	ផ្សង
cres	អុក
tcef	cherry
tcom	ជំពប់ដួល
nyot	បកប្រែ
tyok	រថយន្តដឹកទំនិញ
cyip	កើនលើស
grot	ល្អិត
bris	ឥតខ្សែ
nlam	លក់ដេញថ្លៃ
slif	Sieveបាន
hgos	ច្រែះ
swoc	មិននឹងនរ
jyat	ក្ស័យធន
slum	សាសនាអ៊ីស្លាម
hjes	ការធ្វើជំរឿន
dzat	tiptoe
slun	ផ្អាក
nwot	បន្ត
gyic	ហ្គីតា
pfas	ភាពលំអៀង
zyik	ស័ង្កសី
blen	ភ្លឺចាំង
hyem	elm
hnep	វីវក់
nyut	knitted
ryam	សញ្ញាសម្គាល់សព្វនាម
clim	គ្រឿងទេស
jret	ក្រុមហ៊ុនSharp
tfon	និយាយលេង
jwac	Java
hrep	រូបមន្ត
dyac	ស៊េរីរឿង
myip	ម៉ែត្រ
rwis	ពូជសាសន៍
hkem	ផ្កាយដុះកន្ទុយ
nwon	ការបង្កើតថ្មី
zwin	ការហាមឃាត់
dyis	មជ្ឈិមសម័យ
mrec	ចាប
fyot	លេខយោង
mlon	ការវាស់វែង
pfis	ការផ្តល់សច្ចាប័ន
rwot	គន្លង
hfok	សន្សំសំចៃ
glof	កីឡាវាយកូនគោល
zron	សូន្យ
hzip	បង្ហាប់
hwom	គ្មានផ្ទះសម្បែង
bjic	ការទំពារ
pcim	បំពេញ
hjip	បន្ទះឈីប
bwac	សាប
mlos	mole
mrip	គ្រឿងស្មូន
bron	អំប្រ៊ីយ៉ុង
ksoc	ការដក
cyum	ផ្សិត
jyan	ភាសា
plim	ព្រូន
mwet	កន្លែងបញ្ចុះសព
ryet	បញ្ចប់ការសិក្សា
glik	ប្រព័ន្ធធារាសាស្ដ្រ
plap	មូលធន
tsif	ការបត់បែន
gyak	ត្រីឆ្លាម
djon	លំនាំដើម
nwun	ទៀងទាត់
cles	របាកដនិយម
dris	រឹតតែ​កើនឡើង
hkef	ហាងកាហ្វេ
blus	រថយន្តសង្គ្រោះបន្ទាន់
blap	កាបូបលុយ
bjak	undefined
klim	grimace
gyac	វិទ្យាសាស្រ្ត
jyit	equanimity
dzit	ប្រាកដនិយម
bwak	ក្រៅ
dyot	វិទ្យុ
bwon	សណ្តែក
fris	ក្រៅផ្លូវការ
klut	មានការរំពឹងទុក
tfek	steak
nrok	អាសូត
zyat	ឡាម
bram	Mutter
ryis	ណែនាំ
nlip	វិភាគ
nros	ផ្ទុយ
hcof	រសាយ
tfif	ការលើកទឹកចិត្ត
kroc	furrow
hdum	សាសនា
pses	អ្នកទទួល
plok	បំពេញបន្ថែម
lyet	កញ្ចក់
pwek	ករណីpegative
kfas	ជំងឺមហារីក
pwen	កូនអុក
nrun	ការ​រំលឹក
clek	លេចធ្លាយ
pcif	កែតម្រូវ
glas	ភាព​ស្មុគស្មាញ
zwit	និយាយ​ច្រើន
kces	គ្រប់គ្រាន់
crem	លក់​រាយ
grap	ការចាប់យក
kwip	អន្តរាគមន៍
dyut	ការបញ្ចុះតំលៃ
crus	ឋានានុក្រម
gyet	Jade
gram	snarls
kyip	សត្វ
nyet	បន្ទះ
crop	ទឹកជ្រោះ
glon	ហ្គាឡុង
mrok	មូស
fluc	ស្ទាត់ជំនាញ
dwic	គម្លាត
slec	ការរុករកប្រេង
srec	undefined
blut	ចំបាប់
myok	ប្រជាជនទាំងនេះ
tlek	ដោត
nruk	ឆ្លង
nwoc	undefined
bjut	អង្គុយ
hges	មានផ្ទៃពោះ
twoc	គ្រឿងទេស
kyos	កុម្មុយនិស្ត
mrek	ឆល់
clip	ការទន់ទាប
pwok	ករណីកាត់ទោស
dwot	ជនផ្តាច់ការ
zyac	ការកាន់កាប់
jlic	ផ្កាយរណប
slop	ស្បែកជើង
ryip	សមាមាត្រ
psim	ប្រហាក់ប្រហែល
byet	គ្មានការងារធ្វើ
cyop	ចំណង់ចំណូលចិត្ត
rwun	លក្ខណៈវិនិច្ឆ័យ
blop	អំពូល
syok	អ្នកគាំទ្រ
klos	ក្លរីន
lwot	ក្លរួ
byic	បាក់តេរី
lyik	ស្អិត
blok	ជីវសាស្រ្ត
jlac	feign
bret	បៃ
krif	ការបញ្ចេញ
blet	រាំរបាំបាឡេ
nruc	ទឹកនោម
tsus	ខ្ទឹម
dyak	វណ្ណៈកណ្តាល
tcem	តុង
cyoc	បញ្ហាប្រឈម
trep	strawberry
dlun	ការបំពុល
hlup	អាល់ប៊ុម
hbep	កីឡាបេស្បល
praf	ការលួចចម្លង
pwis	participle
grek	ហ្គារ៉ា
kruk	ឈើច្រត់
hfof	ផូស្វ័រ
rwut	រចនាសម្ព័ន្ធ
myam	កន្លែងហាត់កីឡា
krec	រថយន្តស្ទូច
jras	ចុះកិច្ចសន្យា
zrik	ជូនដំណឹងដល់
blam	សាល
klip	សិប្បករ
hwef	គ្មានប្រាក់ខែ
zlac	ចេក
gret	ម៉ាស៊ីនភ្លើង
lwuk	ឆ្អឹងជំនី
nyek	នីកែល
blos	រថយន្ដក្រុង
sles	ចាប់ពិរុទ្ធ
tlif	ក្បឿង
kses	សាច់ក្រក
mwot	ប៉េងប៉ោះ
lyot	រថយន្ត
tsom	ប៉ូតាស្យូម
brut	និម្មិត
djap	ពិជគណិត
hjok	ទូទៅ
kfen	គំនិត
pcok	អុបទិក
bzut	budge
syek	ភាពអត់ការងារធ្វើ
mruc	ដង្កូ
bwas	កម្មវិធីរុករក
klif	ជាតិកាល់ស្យូម
rwet	ពីចម្ងាយអតីតកាល
srif	ប្រវត្តិសាស្រ្តមានភាពតានតឹង
hwem	វិសាលគម
syom	សូដ្យូម
tyos	ប្រឹក្សាភិបាល
jyic	ចំណាប់ខ្មាំង
hguk	ឃ្លោក
dwun	ជ្រួញ
swip	កើន
tlec	ធីក
blaf	ការរំលោភសេពសន្ថវៈ
tsem	មិនជឿព្រះ
mloc	ម៉ូនីទ័រ
gyot	លក្ខខណ្ឌ
trop	ការស៊ើបអង្កេត
rwap	ប្រចាំត្រីមាស
hjep	យែនឌ័រ
pyim	ផ្លាទីន
dlon	ចំនួនប្រភេទdual
pcep	សួត
twuk	scouring
tyec	ស្លាក
syup	ទំនើប
trom	រទេះ
nyip	ក្នុងមូលដ្ឋាន
glis	សាំង
gjik	តម្រងនោម
hjos	ចោល
hjuc	ប្លន់
swek	undefined
psek	សារធាតុអាសេនិច
twok	ស្ថិតិ
tsep	កណ្ដូប
slos	សង្គមនិយម
nwim	អារម្មណ៍ភ័ស្តុតាងញ្ញា
tlop	tablecloth
trus	ចម្រូងចម្រាស់
pwot	ខ្សែ
djot	ល្បាប់
nloc	snub
mwon	ភាសាចិនកុកងឺ
hjek	អ្នកជិះសេះ
crom	សហការ
myon	ជំងឺរលាកសួត
twec	situate
ryek	រ៉ុក្កែត
dlic	ភាគលាភ
kwet	ជិះស្គីក្ដារ
bwen	គិតមមៃ
plon	ចំនែក
syon	ខោ
djis	ឌីជីថល
byut	ឆ្កេ
hyep	ត្របកភ្នែក
dwon	អង្កត់ទ្រូង
byis	subconscious
brec	ចិញ្ចើម
cyec	កណ្តាស់
hwop	វ៉ាត់
clus	រីករាយរួម
kfun	ការកាន់កាប់
nwum	សាសនាហិណ្ឌូ
fyim	ជនភៀសខ្លួន
cwos	យាន
tfoc	undefined
pwon	ប្រូតេអ៊ីន
sraf	undefined
hbom	កំអួត
gyen	ហ្សែន
drim	វិទ្យា
trem	accoutrements
tsup	បំបែក
slok	សង្គមវិទ្យា
kwoc	ការបំផ្លាញ
bwam	ឈ្មោះអ្នកបោះឆ្នោត
mlok	ការចល័ត
kyen	ក្នុងតំបន់
hmop	ចលនាលំបាក
rwek	ឡើងវិញ
kfup	គូប
grok	ការ៉ុត
drap	undefined
lwis	ម៉ូលេគុល
ksuc	គណនេយ្យករ
tsop	ក្លិនស្អុយ
kyok	ត្រសក់
nroc	orgy
jlot	សារធាតុរំលាយ
psof	ផូ
hgif	ចាប់អារម្មណ៍
kfim	អាល់កាឡាំង
psos	អត្តពលកម្ម
pfen	ការផ្ទៀងផ្ទាត់
kcom	សេដ្ឋវិទូ
krom	សញ្ញាក្បៀស
tluk	wriggle
hyom	ជាតិអ៊ីយ៉ូត
nwuc	ចលនាចុះ
gjac	ការរលូតកូន
pcom	កួរភ្ជាប់
dzic	អ្នករចនាម៉ូដ
grun	bragging
dzot	ម្ចាស់ជំនួយ
hzek	ម៉ង់ហ្គាណែ
kfot	ក្តារចុច
jlas	មិនគួរទុកចិត្ត
lyim	វី​រៈ​ជន
jyen	ប្រាក់យ៉េន
pcaf	វង់ក្រចក
rwip	កីឡាបាល់ឱប
blip	ព្រះគម្ពីរ
