hnit	வினையெச்சம்
srap	காய்கறி
sren	கண்காட்சியின்
tlun	கால்சட்டை
hrup	ஊழல்
nrip	மந்திரிசபை
srup	சூப்
jran	அறுவைசிகிச்சை
bjat	கொடுப்பனவு
gyat	உளவு
hlem	பொறுப்பற்ற
srak	சுருக்கம்
kson	உச்சரிப்பு
cwis	வியாழக்கிழமை
sret	நேர்மையுடன்
hraf	போக்குவரத்து
hres	கட்டிடக்கலை
hsuf	வசம்
rwak	கிராக்
twon	ஆபரணம்
hfus	மீட்பு
hkom	குறியீடு
djat	வேட்டையாடி
nlut	செய்திமடல்
hsef	பாம்பு
mris	ஜனநாயகம்
bric	பேட்டரி
mlam	மெழுகு
zran	பகிர்ந்து
cron	சுகமே
hzen	நீந்து
traf	ஆடைஅவிழ்ப்பு
cwaf	உறை
srip	சிகரெட்
mrot	மோட்டார்
swon	தன்னார்வ
ryak	எதிர்வினை
pfun	ஓரளவு
blac	பேக்கேஜ்
mret	அமைச்சகம்
hjon	பாலியல்
kcok	கோடரி
dram	வைர
kren	மாற்று
tcek	எதிரொலி
hdif	அடையாள
tfas	தூதர்
hfot	கொண்டிருக்கும்
lwas	சோம்பேறி
hmep	momentaneஅம்சம்
kfin	குறியீட்டு
mwin	கற்பனை
hrem	ரே
pram	ஏறும்
byac	பாதாள
mren	மறக்கமுடியாத
swen	செனட்
kras	சவப்பெட்டியில்
hgun	விழுங்க
nlok	ஈடுபடுத்தி
ryic	விவசாய
gwin	ஊஞ்சலில்
srut	பசும்புல்
hkes	சிக்கலான
hfis	ராஜினாமா
frak	மீண்டும்மீண்டும்
hnom	சதி
hcop	பப்
hlec	மிளகு
mlot	மெல்லிசை
zrat	வேட்பாளர்
proc	புரவலர்
flik	நரி
cyet	வருந்துவதாக
hgim	புகைபோக்கி
slet	ஹெட்ஜ்
tcok	துல்லியம்
bjit	முன்னாள்இறந்தவரின்
brot	மொட்டு
bwat	போர்வை
hdus	பன்றி
gwat	தந்தம்
kret	சாறு
nwet	பார்வையாளர்
jwan	அவென்யூ
nwis	நகங்கள்
mwic	தேனீ
bzat	நடிகர்
gyan	வியர்வை
zyit	நிர்வாகி
blic	மாயையை
pcet	நிச்சயமற்ற
tsot	மடி
bwit	எல்லை
tres	மனஅழுத்தம்
hkof	நுகர்வு
nyen	புலம்பல்
hles	ஒத்திருக்கின்றன
cyek	வேலையிலிருந்து
hjis	ஊசி
gjan	நிகழ்வு
prec	நடந்து
drot	கட்டுப்படுத்தப்பட்ட
kcek	வளைவு
twic	கோழி
brak	பீப்பாய்
zwat	பழக்கமானவர்கள்
clap	பழக்கமானவர்கள்அம்சம்
tsec	நிபுணர்
bwin	ஈர்க்க
cwet	சூழப்பட்டிருக்கிறது
hbek	பேக்கர்
zlin	ஆலிவ்
mron	வேன்
drin	அர்ப்பணிக்க
psap	அம்பலப்படுத்த
gjin	பிறந்தநாள்
clut	சுத்தியல்
cwun	மணம்
twaf	அற்பமான
pcot	pet
krok	மண்டை
dlik	சட்டமன்றம்
cwic	அதிர்ஷ்டவசமாக
srun	சிடுசிடுப்பு
crec	அழித்து
jlan	விளிம்பு
kcip	சாம்பியன்
blin	பில்லியன்
ryik	இரசாயன
mlas	துடிப்பு
flit	பைலட்
hzet	முடிச்சு
cwik	கம்பீரமான
twet	பாவாடை
mwik	வாராந்திர
tfis	தொழில்நுட்ப
tlon	வாகன
cram	முகத்துதி
grac	வலுப்படுத்த
kraf	காகம்
trup	பண்பு
hduk	கொக்கி
cruk	புலி
nrap	பணிப்பெண்
crot	நெடுஞ்சாலை
mlip	குடிப்படை
hfoc	புகைப்படம்
nres	நேர்மை
plos	பிளஸ்
tfam	ஒளிபுகும்
nlic	பத்தொன்பது
hwok	தகுதி
nlen	கட்டுரை
fyic	திறன்
hwuk	தனிப்பட்ட
hgok	கரிம
flic	இறையியல்
flot	மிதவை
hboc	தங்களுக்கு
hwoc	சூனிய
syot	ஸ்டூடியோ
cwip	மதுவை
hbes	பேனர்
lwic	விவாகரத்து
blot	ஆணி
cwot	கூண்டில்
cwam	நரம்பு
prik	செயலற்ற
hfum	நுரை
grik	சரளை
zrin	கவச
gren	கிரகம்
hfuc	உயிர்த்தெழுதல்
claf	அலமாரியில்
flas	ரசிகர்
hjot	வெப்பமண்டல
hbim	தன்னிச்சையான
krek	பாதரசம்
hbec	இரக்கமுள்ள
tsaf	தற்கொலை
pwas	பறித்து
plot	நிருபர்
kfak	செலவிடுவதால்
blak	பால்கனியில்
hdos	கறை
kwis	கிளாசிக்
kcos	குற்றஞ்சாட்டத்
psen	ஓய்வூதிய
kres	வினை
hzon	குரங்கு
srim	கையொப்பம்
glin	தயக்கம்
mlut	பேர்போன
myot	இறக்குமதி
fwac	நிறுவனர்
troc	ஜோதி
hgaf	இலக்கணம்
hyop	படகு
ksip	அழிந்து
sres	சுற்றுலா
hnup	குவிமாடம்
hzun	பிடிவாதமாக
mric	தசை
gjat	ரிக்டர்அளவில்
hros	துடைப்பான்
zrac	கோழைத்தனமான
tros	சிற்றுண்டி
myus	சுட்டி
dwac	உரையாடல்
byak	வெள்ளாடு
htef	தையல்காரர்
hfek	வளம்
dzan	சுமத்த
nyon	பெயரில்லா
zrit	சாதாரணபதிவு
pcos	விளையாட்டு
hjec	உருகுகின்றன
dlas	நீக்க
mras	குடை
mram	கனிம
cwut	போர்நிறுத்தஉடன்பாடு
hbok	வாத்து
swun	சோப்பு
dwak	பொம்மை
plif	வில்லா
slon	தையல்
tfut	வாழ்த்த
djac	சரிசெய்யும்
hjas	ஒடுக்க
kric	முயல்
kwot	நடத்துனர்
gzan	உத்தரவாதம்
clot	ஆட்டக்காரர்
ksek	பூச்சி
psam	காட்டி
mwut	ஆந்தை
htem	நிரந்தரமாக
clon	வயலின்
dzin	குடியுரிமை
rwim	முறையே
hyof	நன்மை
dron	டிராகன்
dwit	செவிப்புலசான்றுத்
sroc	ஏற்றுமதி
hzot	முடித்தல்
djik	தாமதி
kfik	மூடி
ryun	கட்டுப்பாடு
hmes	மேயர்
rwac	வன்பொருள்
sruk	சர்க்கஸ்
sros	சிறுபான்மை
bzan	கலகம்அடக்கும்
kset	இசைக்குழுவிற்கு
bjon	பன்றிஇறைச்சி
hjut	வரம்பற்ற
tfen	காக்க
zwac	அனுகூலமற்ற
dyin	ஆழ்ந்தசிந்தனை,
myis	இசைக்கலைஞர்
mlis	மன
pret	போதிய
tsek	கட்டடவடிவமைப்பாளர்
hlom	எலுமிச்சை
ksos	இருமல்
crok	தலைவலி
flin	கருவுறுதல்
mrun	தச்சு
swec	சீரற்ற
syuk	ஸ்பூன்
blun	பலூன்
tcep	சுண்ணாம்பு
fric	புத்துணர்ச்சியை
rwik	செங்குத்து
rwen	தடுக்கும்
flet	அனுமானசான்றுத்
pfac	வெளியீட்டாளர்
srek	வினிகர்
tfun	சுரங்கப்பாதை
pwet	புதிர்
gyik	கணிதம்
fwot	ஃபேட்
lwin	சீரான
jwin	கல்லீரல்
bwik	sublativeவழக்கு
hdup	டிப்
hnop	ஏகபோக
bwic	நீர்மூழ்கி
ryen	பொருட்படுத்தாமல்
hcem	நிலநடுக்கம்
hbos	ஆய்வக
nrek	தொழிலாளி
ryim	ரிதம்
nyic	விளக்குவது
dwas	தூதரகம்
rwok	தூண்டும்
kram	இயலாமை
ksim	அறிவித்தல்மனநிலை
clok	சாக்லேட்
pcec	சலுகைபெற்ற
nyis	துறவி
tyoc	தற்செயல்
grak	புதிதாக
zlat	கையுறை
hjuk	நெடுஞ்சாண்கிடையாக
trif	நிலவியல்
djit	முறையான
pson	வெல்ல
mwis	முதலீட்டு
cwec	வாய்மொழி
hdek	மதச்சார்பற்ற
blik	பருந்து
sloc	உளவியல்
brap	குப்பை
jlat	கொள்ளையர்
dros	டோஸ்
slam	சால்மன்
pwun	புட்டு
gwik	காந்த
pcop	பம்ப்
myen	இதேபோல்
ksen	ஆக்சிஜன்
mrap	ஃபோர்மேன்
tfot	சான்றிதழ்
ksus	கொத்து
trok	சொல்லாட்சி
tloc	ஏணிப்படி
zyan	துடுப்பு
nlun	உள்நுழை
hlop	தொலைநோக்கி
jlin	எழுத்துப்பிழை
lyut	மேகமூட்டம்
hsof	சர்ஃப்
fyik	விஸ்கி
klet	ஒப்பீட்டளவில்
hwof	வில்லோ
hlum	ஒட்டகம்
myet	அமெச்சூர்
klis	தனிமை
hbaf	சுயசரிதை
gwac	கழுதை
hwum	வதந்தி
pwik	முன்னோக்கு
pron	சார்பு
myes	மாதாந்திர
mwen	பகற்கனவு
kfic	விடுமுறை
klek	கிளிக்
cwon	ஓவல்
lyak	மீள்
kwon	அகராதி
hjam	ஹாம்
rwon	வானவில்
crip	இதன்மூலம்
zwan	நிகழும்
srok	தலையங்கம்
craf	கோப்ரல்
tlok	தொட்டி
brip	பட்டாம்பூச்சி
tfap	விளக்கப்படம்
jwat	இரட்டை
pros	இயக்க
psun	சகுனம்
clet	அவலங்களையும்
hbus	மூங்கில்
dyas	வியாபாரி
klun	குவிப்பு
jlit	ஒருமித்த
hdom	கனவு
kron	கார்பன்
hzam	ஜாம்
cyot	கேட்பவரின்
hmem	அருங்காட்சியகம்
lwam	எழுத்துக்களை
fras	சிதறல்
psoc	பஞ்ச்
hgum	பசை
brek	பிரேக்
glit	ஸ்திரத்தன்மை
frun	அழுகல்
gris	ஆக்கிரமிப்பு
mroc	உராய்வு
bzit	சிலந்தி
plut	உருளைக்கிழங்கு
glac	பேராசை
gzac	பெருக்கவும்
prun	சுழல்
jlet	நாட்காட்டி
nyim	பரிந்துரையை
tlos	டிரில்லியன்
slut	கலவை
fwit	உடன்பாட்டுமனநிலை
pyen	பயன்பாடுகள்
nlon	பெயரளவு
dren	நிரூபிக்க
drun	அதிருப்தியை
cyok	அலட்சியமாக
hfop	கால்பந்து
ryac	கூட்டு
gzin	முன்னோடியாக
hgip	முட்டைக்கோஸ்
tyet	தடகள
hdof	idiophone
hwup	மதிப்பில்லாத
lwek	நெம்புகோல்
syec	செனட்டர்
jyak	இடமளிக்கும்
mlim	எறும்பு
fwic	திறம்பட
gzit	கர்ப்பிணி
blas	ரிலையன்ஸ்
jrin	தினமும்
gwak	கணுக்கால்
drik	விந்தை
prif	மாறி
jwit	பன்முகத்தன்மை
krip	பாகுபாடு
ryot	பிரமிப்பூட்டும்
nwut	நடைபாதையில்
kcif	தீவிரமாக
jrak	தவளை
twek	அதிகப்படியானவழக்கு
psot	பாவநிவிர்த்தி
pfon	கடற்பாசி
sluk	அணில்
nlim	irrealisமனநிலை
ksaf	பற்றாக்குறை
glak	எரிமலை
plen	சமநிலை
kfaf	தாவணி
kyon	சுரண்ட
jlik	புவியியல்
psop	பாஸ்போர்ட்
kfis	காலியிடம்
fyon	நாட்டம்
nram	ஒழுக்கங்கெட்ட
hbuk	பிஸ்கட்
gras	டிரான்ஸ்
hyos	பயம்
flim	படம்
plet	மாத்திரை
rwam	அணுவின்
blis	வெண்ணிலா
zlit	எய்ட்ஸ்
fyut	அணிவித்தார்
crim	பிரமிடு
hjif	சட்டவிரோத
crif	கூச்சம்
lwap	வீணை
tyon	வானியல்
mrim	பிரமை
drut	விளக்க
nrim	உதவித்தொகை
kruc	ஆமை
kwam	ஆலோசகர்
jrik	கிரிக்கெட்
dlut	குறிக்க
pyot	புறா
dyon	தழுவல்
prap	ஆபரேட்டர்
bzin	பேட்ஜ்
tyek	முக்கோணம்
trec	பொருளாளர்
nron	ஹைட்ரஜன்
pyet	பிரிண்டர்
tsok	சோக்
zyin	நாள்பட்ட
slek	மிதிவண்டி
jyin	பொறியியல்
ryas	ஒலிபரப்பு
zrak	புதுப்பிப்பு
nyas	நடனகலைஞர்
gric	இடம்பெயர்வு
zlak	மீறும்
tces	டென்னிஸ்
hjun	கொந்தளிப்பான
twen	நெசவு
kyet	கலெக்டர்
gwit	முதுகெலும்பு
kyot	நாண்
fwin	அதிர்வெண்
tfuc	தறி
dlet	அடைவு
pfik	சிந்தனையாளர்
bjet	வரவுசெலவுதிட்டம்
trek	மூலோபாயம்
kros	குவார்ட்ஸ்
gjit	கத்தரிக்கோல்
gwic	சுவிட்ச்
frik	தத்துவார்த்த
tluc	துண்டு
pruc	ரோந்து
glic	பனிப்பாறை
krun	முழுமை
bjin	கணிப்பு
tlaf	பங்கேற்க
tfet	உற்பத்தியாளர்
bras	பக்கவாட்டு
dwik	பிரதிவாதி
clec	வெளியேற்ற
cres	சதுரங்க
tcef	செர்ரி
tcom	தவறுகிறோம்
nyot	மொழிபெயர்ப்பாளர்
tyok	டிரக்
cyip	விஞ்சி
grot	கடுகு
bris	வயர்லெஸ்
nlam	ஏலத்தில்
slif	சல்லடை
hgos	துரு
swoc	நிலையற்று
jyat	திவாலான
slum	இஸ்லாமியம்
hjes	மக்கள்தொகைகணக்கெடுப்பு
dzat	தயாராக
slun	இடைநிறுத்த
nwot	தொடர்ச்சி
gyic	கிட்டார்
pfas	கோடல்
zyik	துத்தநாகம்
blen	பளபளப்பான
hyem	இலம்
hnep	ஸ்க்ரேம்பில்
nyut	பின்னிவிட்டாய்
ryam	சுட்டுப்பெயர்மார்க்கர்
clim	மசாலா
jret	ஓங்கியிருக்கும்
tfon	கேலி
jwac	ஜாவா
hrep	செய்முறையை
dyac	உரிமையை
myip	மீட்டர்
rwis	இன
hkem	வால்மீன்
nwon	கண்டுபிடிப்பு
zwin	தடை
dyis	இடைக்கால
mrec	குருவி
fyot	அடிக்குறிப்பு
mlon	அளவீடு
pfis	இசைவுஅளிக்கும்
rwot	வட்டபாதையில்சுற்றி
hfok	குறைந்தபட்ஜெட்டில்
glof	கோல்ப்
zron	பூஜ்யம்
hzip	ZIP
hwom	வீடற்ற
bjic	மெல்லும்
pcim	நிறைவேற்ற
hjip	சிப்
bwac	கொட்டாவி
mlos	மோல்
mrip	மட்பாண்ட
bron	கரு
ksoc	துப்பறியும்
cyum	ஈஸ்ட்
jyan	வாசகங்கள்
plim	பிளம்
mwet	இடுகாட்டில்
ryet	பட்டதாரி
glik	பாசன
plap	முதலாளித்துவ
tsif	நெகிழ்ச்சி
gyak	சுறா
djon	இயல்புநிலை
nwun	நிர்ணயிக்கப்
cles	ரியலிசம்
dris	பெருகிய
hkef	கஃபே
blus	ஆம்புலன்ஸ்
blap	பணப்பை
bjak	களிப்பூட்டும்
klim	பழிப்பு
gyac	விஞ்ஞானி
jyit	மனஅமைதி
dzit	யதார்த்தமான
bwak	வெளிப்புற
dyot	வானொலி
bwon	பீன்
fris	முறைசாரா
klut	ஊகம்
tfek	மாமிசத்தை
nrok	நைட்ரஜன்
zyat	ரேஸர்
bram	முணுமுணுப்பு
ryis	அறிமுக
nlip	ஆய்வு
nros	முரண்பாடான
hcof	கழற்று
tfif	ஊக்க
kroc	வரப்பு
hdum	யூதம்
pses	பெறுநர்
plok	நிறைவுடன்
lyet	லென்ஸ்
pwek	pegativeவழக்கு
kfas	புற்றுநோய்
pwen	சிப்பாய்
nrun	நினைவூட்டல்
clek	கசிவு
pcif	மெய்ப்பித்துகாட்டுவது
glas	சிக்கலான
zwit	பேச்சாளராக
kces	போதுமென்ற
crem	சில்லறை
grap	கிராப்
kwip	தலையீடு
dyut	தள்ளுபடி
crus	வரிசைக்கு
gyet	ஜேட்
gram	snarl
kyip	பல்லி
nyet	திண்டு
crop	நீர்வீழ்ச்சி
glon	கேலன்
mrok	கொசு
fluc	சரளமாக
dwic	விலகல்
slec	ஆய்வுப்பணி
srec	காலாவதியாகும்
blut	மல்யுத்தம்
myok	மொசைக்
tlek	பிளக்
nruk	தொற்று
nwoc	அதைத்தொடர்ந்துஇனிமேல்
bjut	குந்து
hges	கர்ப்ப
twoc	மளிகை
kyos	கம்யூனிஸ்ட்
mrek	கவர்வது
clip	உளைச்சலுக்குப்
pwok	prosecutiveவழக்கு
dwot	சர்வாதிகாரி
zyac	சிந்தனையுடன்
jlic	செயற்கைக்கோள்
slop	ஸ்லிப்பர்
ryip	விகிதாசார
psim	தோராயமான
byet	வேலையற்ற
cyop	பொழுதுபோக்கு
rwun	அளவுகோல்
blop	விளக்கை
syok	ஆதரவாளர்
klos	குளோரின்
lwot	குளோரைடு
byic	பாக்டீரியா
lyik	ஒட்டும்
blok	உயிரியல்
jlac	feign
bret	பைட்
krif	சுரப்பு
blet	பாலே
nruc	சிறுநீர்
tsus	பூண்டு
dyak	நடுத்தரம்,நடுத்தரவர்க்கம்
tcem	இடுக்கி
cyoc	சவாலான
trep	ஸ்ட்ராபெரி
dlun	மாசு
hlup	ஆல்பம்
hbep	பேஸ்பால்
praf	கடற்கொள்ளையை
pwis	பெயரெச்சம்
grek	கேரேஜ்
kruk	ஊன்றுகோலாக
hfof	பாஸ்பரஸ்
rwut	கட்டமைப்பு
myam	உடற்பயிற்சிக்கூடம்
krec	கிரேன்
jras	ஒப்பந்ததாரர்
zrik	அறிவிக்குமாறு
blam	பால்ரூம்
klip	கைவினைஞர்
hwef	செலுத்தப்படாத
zlac	வாழை
gret	ஜெனரேட்டர்
lwuk	விலாஎலும்பு
nyek	நிக்கல்
blos	பேருந்து
sles	தணிக்கைக்
tlif	ஓடு
kses	தொத்திறைச்சி
mwot	தக்காளி
lyot	கார்
tsom	பொட்டாசியம்
brut	மெய்நிகர்
djap	இயற்கணிதம்
hjok	பொதுவான
kfen	கருத்துக்கள்
pcok	ஆப்டிகல்
bzut	அடங்க
syek	வேலையின்மை
mruc	கம்பளிப்பூச்சி
bwas	உலாவி
klif	கால்சியம்
rwet	தொலைகடந்தபதட்டமான
srif	வரலாற்றுபதட்டமான
hwem	ஸ்பெக்ட்ரம்
syom	சோடியம்
tyos	அறங்காவலர்
jyic	பணயக்கைதிகள்
hguk	ஆமணக்குச்
dwun	தோல்சுருக்கம்
swip	ஸ்பைக்
tlec	டிக்
blaf	கற்பழிப்பு
tsem	நாத்திகம்
mloc	மானிட்டர்
gyot	நிபந்தனை
trop	விசாரணை
rwap	காலாண்டு
hjep	பாலினம்
pyim	பிளாட்டினம்
dlon	இரட்டைஎண்
pcep	நுரையீரல்
twuk	தேடிய
tyec	டேக்
syup	சூப்பர்
trom	ரெயில்தண்டவாளங்களின்மேல்கையால்தள்ளப்படும்வண்டி
nyip	உள்நாட்டில்
glis	பெட்ரோல்
gjik	சிறுநீரக
hjos	யாருமற்ற
hjuc	திருட்டை
swek	சிதிலமடைந்து
psek	ஆர்சனிக்
twok	புள்ளியியல்
tsep	வெட்டுக்கிளி
slos	சோசலிச
nwim	உணர்ச்சிசான்றுத்மனநிலை
tlop	மேசைதுணி
trus	சர்ச்சைக்குரிய
pwot	தோல்வார்
djot	வண்டல்
nloc	அதட்டல்
mwon	மாண்டரின்
hjek	தொகுப்பாளராக
crom	ஒத்துழைக்க
myon	நிமோனியா
twec	கொள்ளுவோம்
ryek	ராக்கெட்
dlic	ஈவுத்தொகை
kwet	ஸ்கேட்
bwen	தொல்லை
plon	ஒதுக்கீடு
syon	பந்த்
djis	டிஜிட்டல்
byut	பிச்
hyep	கண்ணிமை
dwon	மூலைவிட்ட
byis	ஆழ்
brec	புருவம்
cyec	தும்மல்
hwop	வாட்
clus	பெருங்களிப்புடைய
kfun	ஆக்யுபெந்ஸீ
nwum	இந்துமதம்
fyim	அகதி
cwos	விண்கலம்
tfoc	திடீரெனதோன்றும்சுரீர்
pwon	புரதம்
sraf	சுயதிருப்தி
hbom	வாந்தி
gyen	மரபணு
drim	புதியவர்களை
trem	accoutrements
tsup	நொறுக்கு
slok	சமூகவியல்
kwoc	ஸ்குவாஷ்
bwam	வாக்காளர்
mlok	இயக்கம்
kyen	பிராந்திய
hmop	இயக்கம்மேல்நோக்கி
rwek	சுயபரிசோதனை
kfup	கன
grok	கேரட்
drap	சிறைபிடிக்க
lwis	மூலக்கூறு
ksuc	கணக்காளர்
tsop	துர்நாற்றம்
kyok	வெள்ளரி
nroc	களியாட்டம்
jlot	கரைப்பான்
psof	பாஸ்பேட்
hgif	வசீகரித்தன
kfim	கார
psos	ஜிம்னாஸ்டிக்ஸ்
pfen	சரிபார்ப்பு
kcom	பொருளாதார
krom	கமா
tluk	நெளிவு
hyom	அயோடின்
nwuc	இயக்கம்கீழ்நோக்கி
gjac	கருச்சிதைவு
pcom	நெற்று
dzic	வடிவமைப்பாளர்
grun	தற்பெருமை
dzot	கொடை
hzek	மாங்கனீசு
kfot	விசைப்பலகை
jlas	நம்பமுடியாத
lyim	உயரடுக்கு
jyen	யென்
pcaf	அடைப்பு
rwip	ரக்பி
blip	பைபிள்
kyoc	காரணத்தின்
lyon	புண்
flis	தொனித்திரிபு
nrif	சிறுகசிறுககொரித்துதின்
kfam	குவாண்டம்
swes	ஸ்வெட்டர்
lwon	பரிணாம
drec	இடர்
gjap	ஸ்பா
lyec	நேரியல்
tyom	ஆண்டிமனியை
pwuk	superessiveவழக்கு
flaf	ஆல்பா
myim	நோய்எதிர்ப்பு
pcek	கடத்தல்
bjac	மதுவடித்தல்
bzac	குறுக்குங்கள்
bzak	சாக்
twes	தொலைக்காட்சி
dwut	ஆவணப்படம்
ksom	அகிலம்
lyis	வனவியல்
lwim	அலுமினியம்
ksok	ஜாதகம்
sruc	துரிதப்படுத்த
dlif	டால்பின்
byik	கொலையாளி
tfec	காகிதம்முதலியஎழுதுபொருள்கள்
hjaf	பாலூட்டி
ryok	நெறிமுறை
dwis	டைஆக்சைடு
jlon	பெருங்குடல்
brus	அதிகாரத்துவம்
gjak	விண்மீன்
lyip	மருத்துவ
ryem	ரேடியம்
href	அரிதானதாகவே
prok	குளிர்சாதனபெட்டி
slep	சாடிர்
dret	மறுசெய்கை
kluk	தொல்பொருள்
dlis	தனிமன
kfip	ஏற்றுக்கொள்ளமுடியாத
mlec	மசாஜ்
pfif	விவரக்குறிப்பு
nrec	உணர்ச்சி
pfet	துண்டுப்பிரசுரம்
hzoc	அடிக்கோடிடும்
dlam	பலவகையில்
nlec	மானுடவியல்
kluc	சுவையான
dyet	சேடன்
tyif	டிரான்சிடிவ்
krus	முடங்கிப்போக
nluc	சூரியகாந்தி
lyun	அயன்
zrot	சரணடைவதற்கு
ksif	பொய்ப்பதிவுரு
psif	உமிழ்வு
crup	ஒன்றுடன்ஒன்று
fret	தேடுங்கள்
grut	கவிழ்
ksec	வகுப்புத்தோழி
jric	பயணநிகழ்ச்சிநிரலை
mrop	நுண்ணலை
srus	கைப்பற்றிடவோ
gyas	சிகையலங்காரநிபுணர்
floc	நாடோடிப்பாடலின்படி,
plek	தந்துகி
nwop	பிட்டம்
nrom	கட்டுப்படுத்தி
twos	பயங்கரவாதம்
lwok	கோஷம்
dwet	அதிகநேரம்
slem	பதங்கம்
grip	கிரில்
gwas	வாவ்
kwok	கோபால்ட்
gwon	ஓட்ஸ்
hdop	இயக்கம்upriver
glam	ஆசனவாய்
bwot	மாட்டிறைச்சி
bren	குடல்
byot	காணொளி
bjik	புறக்கணிப்பு
kwim	வினாடிவினா
cwek	ஹாக்கி
grif	கொரில்லா
hgem	மெக்னீசியம்
hyes	விழிப்புணர்வு
fram	மருந்தியல்
nwos	unambitious
ryap	மறுசீரமைக்க
cwim	நம்பகத்தன்மை
klep	கெல்ப்
psec	ஈடுசெய்துவிடும்
djic	உலகம்முழுவதும்
kfut	ஊரடங்குஉத்தரவு
crep	ஹாம்பர்கர்
frim	தேற்றம்
gjas	எரியூட்ட
hdef	பற்று
ryum	யுரேனியம்
pluk	மதிப்பீடு
krop	ஒருங்கிணைக்க
nraf	வரிப்பண
tyes	ஒருங்கிணைந்த
plip	யூகத்தை
hgom	காமா
hgus	குணகம்
cwuc	ஹீட்டர்
zret	கழித்தால்
nles	ஆய்வாளர்
trof	பெ
hmof	மால்
hzim	பிஸ்மத்
dzac	உணவக
psok	அஞ்சலட்டை
blon	குவிதல்
djet	விலகு
ksum	பங்குதாரர்
mrup	நுண்ணுயிர்
clif	சுருள்
cloc	உருவ
tfes	உணவளிப்பவரை
gjis	ஜீன்ஸ்
jren	சீரமைப்பு
tlep	தகவல்
kcup	கூப்பன்
glot	மின்னழுத்தம்
glut	கால்குலேட்டர்
srep	மின்வெளி
nwes	முதலீட்டாளர்
ksef	எக்ஸ்-ரே
bzis	விசா
frut	உள்கட்டமைப்பு
nyuk	மின்மினிப்பூச்சி
dyik	கண்டுபிடிப்பான்,
plec	கயிற்றின்
brom	புரோமின்
plop	பல்லேடியம்
zlik	சிலிக்கான்
flut	வோல்ட்
ksop	ஒப்பனை
gjun	சீர்ப்படுத்தும்
kfok	விக்கல்
hpof	பாப்கார்ன்
hzuk	பூங்காவில்
nyoc	அளிப்பதை
jwak	யோகா
brim	பேரியம்
kles	சிரச்சேதம்
mwam	ஆமாம்
fwik	பட்டாசு
djas	ஜாஸ்
dyim	ஆடியோ
tsum	டங்ஸ்டன்
drip	சிறுசிறுதுளிகளாகவிடு
lyaf	ஜீவனாம்சம்
prom	புரோகிராமர்
nrup	உள்ளீடு
hfes	பின்விளைவுள்ளதுமான
rwaf	துலிப்
dlen	ஆவணங்கள்
byas	தடுப்பூசி
fron	ஹெராயின்
dluk	துண்டிக்க
dyun	கண்டறிய
flap	அடைவு
kfet	கத்தோடு
dlim	சித்தாந்தம்
prek	பார்க்கிங்
syoc	நொடிப்பை
slus	அணுகல்தன்மை
nlos	உயர்ந்தஎண்ணநிலையிலிருந்துஏற்படும்திடீர்வீழ்ச்சி
mlen	செலினியம்
pres	புறணி
hlof	சல்பர்
nlek	தற்போதையசம்பந்தம்மார்க்கர்
gwot	விமானநிலைய
mwip	மோசடிக்காரன்
klop	கரப்பான்பூச்சி
kwom	குரோமியம்
hl6t	லிட்டர்
nwec	இருப்பினும்
glip	வட்டமுறை
nrop	ஊதிய
crum	ஹார்மோன்
dlep	மேம்பாட்டாளர்
frot	துளைத்து
bwoc	நாசவேலை
fwis	பெண்ணிய
djok	மூலமொத்தச்
draf	புதுமையாக
trum	தீவிரவாத
graf	வழிமுறை
lwes	லேசர்
mlem	மில்லிமீட்டர்
flen	சாதகமான
zlot	நேர்முனை
swok	அணைத்துக்கொள்
klec	களைத்த
pwim	பகுதிநேரம்
htuf	சூரை
fyis	சுத்திகரிப்பு
lwet	உணர்திறன்
mrem	மெயின்பிரேம்
jwic	செடிகளை
droc	ஆர்ப்பாட்டக்காரர்
clem	ஹீலியம்
dzik	இருமொழி
psem	பிளாஸ்மா
hjom	குரோமோசோம்
rwuc	வரிசையெண்ணுக்குரியவை
tyus	முழு
klom	கிலோமீட்டர்
hfos	தொலைநகல்
nwek	மரபியல்
jrap	ஸ்க்ரூடிரைவர்
zwas	பசியைதூண்டும்
bwok	ப்ரோக்கோலி
dwap	அடாப்டர்
syem	ஸ்பேம்
blek	திசையன்
tlus	தந்திரோபாயம்
pyif	குறிப்பிடப்படாத
cwoc	சரியாகிவிடும்
mrep	ஆம்பியர்
hbem	வைட்டமின்
hxan	காவலாளி
hxut	மானியம்வழங்குகின்றன
hk6m	கேட்மியம்
hxin	சமகால
txin	டைட்டானியம்
kxin	கிலோ
klum	உறவில்ஈடுபடு
xlis	ஓய்வெடுத்து
hqak	விதி
hxat	படைப்பாற்றல்
hxik	மின்புத்தகம்
hxas	பணியிடத்தில்
bxon	போரான்
dxin	இண்டக்டன்சும்
hxit	ஹெலிகாப்டர்
tlum	டெலூரியம்
txit	காலக்கெடுவை
kxat	ஆக்ஸைடாவதும்
hvik	வரிசைப்படுத்து
nluk	அனலாக்
nyem	சென்டிமீட்டர்
hm6t	மாலிப்டினம்
hl6m	லித்தியம்
ht6t	மல்டிமீடியா
xlit	கலோரி
ryop	ரோபோ
pxas	மருந்தாளர்
hxak	வீட்டுவேலை
lwif	தேடுக
grim	மடக்கை
hqat	மாண்டிஸ்
qlit	சூழலியல்
xlik	உலகியல்அறிவு
